supervisor   n.监考人，监查
supper   n.晚餐
supplement   n.,v.增补，补充
supplementary   adj.补充的
supplier   n.供应商
supply   v.供应，供给
support   v.支持，资助，支援
supporter   n.支持者
suppose   v.猜想，假设
supposing   conj.假使
suppress   v.镇压，压制，遏止
suppression   n.镇压，压制
supreme   adj.最高的
surcharge   n.附加费，超载
sure   adj.有把握的，一定的
surely   adv.一定，肯定，谅必
surface   n.表面 adj.表面的
surge   n.,v.汹涌，波动
surgeon   n.外科医生
surgery   n.外科(学)
surmise   v.,n.猜想，推测
surname   n.姓
surpass   v.超过，胜过
surplus   n.过剩 adj.剩余的
surprise   v.使惊诧 n.惊奇
surprising   adj.惊人的
surrender   v.放弃，交出，投降
surround   v.包围
surroundings   n.环境，周围事物
survey   v.视察，测量 n.调查
surveyor   n.调查人，检验人
survival   n.幸存，遗风
survive   v.幸免于，幸存
survivor   n.幸存者
suspect   v.怀疑 n.嫌疑犯
suspend   v.吊，悬，暂停，停学
suspense   n.暂停，中止
suspicion   n.怀疑，嫌疑
suspicious   adj.可疑的，猜疑的
sustain   v.支撑，遭受
swallow   n.燕子 v.吞咽
swamp   n.沼泽
swan   n.天鹅
swarm   n.群 v.云集
sway   v.摇晃，影响
swear   v.宣誓，诅咒
sweat   v.出汗 n.汗水
sweater   n.运动衫，毛衣
swede   n.瑞典人
sweden   n.瑞典
swedish   adj.,n.瑞典人(的)
sweep   v.扫除，席卷
sweet   adj.甜的，甜蜜的
sweeten   v.变甜，加糖
sweetheart   n.心肝，宝贝
sweetness   n.甜味
swell   v.膨胀，肿
swift   adj.快的，迅速的
swim   v.游泳，游
swing   v.摇摆 n.秋千
swiss   n.瑞士人
switch   v.转换 n.开关
switzerland   n.瑞士
sword   n.剑
syllable   n.音节
symbol   n.象征，符号
symbolize   v.象征
symmetric   adj.对称的，匀称的
symmetry   n.对称
sympathetic   adj.同情的，有共鸣的
sympathize   v.同情
sympathy   n.同情，同感，共鸣
symphony   n.交响乐
symposium   n.座谈会，学术讨论会
symptom   n.症状，征兆
synonym   n.同义词
synthesis   n.综合，合成
synthetic   adj.合成的，人造的
system   n.系统，体制，制度
systematic   adj.系统的，有组织的
systematically   adv.有系统地
